panel,row_type,peptide_id,cluster_id,outer_fold,endpoint,model,actual_log10,predicted_log10,pooled_mae_log10,spearman_rho,r_squared,ridge_mae_log10,nn_mae_log10,mae_delta_log10,ci_lower,ci_upper,confidence_level,bootstrap_resamples,bootstrap_seed
A,oof_prediction,seq_pep41,SC003,3,GCGR,component_weighted_ridge,4.096910013008056,3.9738728468464193,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep42,SC003,3,GCGR,component_weighted_ridge,3.8356905714924254,4.212185438278949,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep43,SC003,3,GCGR,component_weighted_ridge,2.8680563618230415,4.057359900286114,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep44,SC003,3,GCGR,component_weighted_ridge,4.320146286111054,3.9531948793795824,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep45,SC004,3,GCGR,component_weighted_ridge,4.326335860928752,4.328735221866648,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep46,SC008,3,GCGR,component_weighted_ridge,2.5276299008713385,4.173197974793937,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep47,SC008,3,GCGR,component_weighted_ridge,3.1583624920952498,4.409634872850797,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep48,SC017,2,GCGR,component_weighted_ridge,4.552668216112194,3.54689194881718,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep49,SC009,2,GCGR,component_weighted_ridge,4.424881636631067,3.3068971541648917,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep5,SC002,2,GCGR,component_weighted_ridge,0.4578818967339924,2.192351151142037,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep50,SC009,2,GCGR,component_weighted_ridge,4.350248018334163,3.354389562296827,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep51,SC001,1,GCGR,component_weighted_ridge,4.445604203273597,4.336882111162622,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep52,SC001,1,GCGR,component_weighted_ridge,4.465382851448418,4.295985992735821,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep53,SC001,1,GCGR,component_weighted_ridge,4.442479769064448,4.295985992735821,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep54,SC001,1,GCGR,component_weighted_ridge,4.45484486000851,4.245329436506563,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep55,SC001,1,GCGR,component_weighted_ridge,4.432969290874405,4.295985992735821,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep56,SC001,1,GCGR,component_weighted_ridge,4.434568904034199,4.184592074621301,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep57,SC001,1,GCGR,component_weighted_ridge,1.9876662649262746,4.295985992735821,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep58,SC001,1,GCGR,component_weighted_ridge,4.429752280002408,4.352320727913321,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep59,SC004,3,GCGR,component_weighted_ridge,4.260071387985075,3.90398229704643,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep6,SC002,2,GCGR,component_weighted_ridge,0.9164539485499251,2.115040825258921,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep60,SC002,2,GCGR,component_weighted_ridge,-0.0809219076239261,1.9187447514191012,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep61,SC002,2,GCGR,component_weighted_ridge,0.2013971243204515,1.9787360837092844,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep62,SC002,2,GCGR,component_weighted_ridge,0.2671717284030138,1.9284128506187028,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep63,SC002,2,GCGR,component_weighted_ridge,1.9299295600845878,2.3694590572631147,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep64,SC002,2,GCGR,component_weighted_ridge,2.0569048513364727,2.216299833224153,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep65,SC002,2,GCGR,component_weighted_ridge,2.3096301674258988,2.2931320581731125,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep66,SC002,2,GCGR,component_weighted_ridge,2.59659709562646,2.4329416088333167,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep67,SC002,2,GCGR,component_weighted_ridge,2.682145076373832,2.2745839730994506,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep68,SC002,2,GCGR,component_weighted_ridge,3.155336037465062,2.437503176279522,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep69,SC002,2,GCGR,component_weighted_ridge,1.110589710299249,2.312215480145035,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep7,SC006,3,GCGR,component_weighted_ridge,1.0043213737826426,2.3009942738827127,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep70,SC001,1,GCGR,component_weighted_ridge,4.450249108319361,4.11787926569793,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep71,SC001,1,GCGR,component_weighted_ridge,4.551449997972875,4.102011796318572,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep72,SC001,1,GCGR,component_weighted_ridge,4.041392685158225,4.366064804091911,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep73,SC001,1,GCGR,component_weighted_ridge,4.222716471147583,4.470153629377734,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep74,SC001,1,GCGR,component_weighted_ridge,4.549003262025788,4.435117039433128,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep75,SC001,1,GCGR,component_weighted_ridge,3.8195439355418688,4.102011796318572,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep76,SC001,1,GCGR,component_weighted_ridge,3.2121876044039577,4.281691627728142,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep77,SC001,1,GCGR,component_weighted_ridge,4.513217600067939,4.4225255161865835,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep78,SC002,2,GCGR,component_weighted_ridge,4.442479769064448,2.4993062896508498,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep79,SC002,2,GCGR,component_weighted_ridge,1.8331471119127851,2.6279709665842867,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep8,SC001,1,GCGR,component_weighted_ridge,4.462397997898956,4.5535571171486176,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep80,SC002,2,GCGR,component_weighted_ridge,2.0043213737826426,2.6279709665842867,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
